system:time_start,waterArea
"Mar 25, 2013",
"Mar 30, 2013",0.858
"Mar 30, 2013",1.715
"Apr 9, 2013",13.293
"Apr 9, 2013",23.616
"Apr 16, 2013",21.867
"Apr 16, 2013",22.905
"Apr 23, 2013",24.79
"Apr 23, 2013",57.602
"May 25, 2013",30.87
"May 25, 2013",53.141
"Jun 3, 2013",23.874
"Jun 3, 2013",41.597
"Jun 10, 2013",0
"Jun 10, 2013",0
"Jun 19, 2013",20.807
"Jun 19, 2013",20.902
"Jun 26, 2013",10.151
"Jun 26, 2013",12.79
"Jul 5, 2013",18.265
"Jul 5, 2013",18.274
"Jul 12, 2013",10.071
"Jul 12, 2013",12.461
"Jul 21, 2013",17.42
"Jul 21, 2013",17.439
"Jul 28, 2013",9.765
"Jul 28, 2013",12.406
"Aug 6, 2013",16.754
"Aug 6, 2013",17.166
"Aug 13, 2013",9.991
"Aug 13, 2013",12.996
"Aug 22, 2013",10.956
"Aug 22, 2013",12.071
"Aug 29, 2013",10.616
"Aug 29, 2013",13.954
"Sep 7, 2013",15.673
"Sep 7, 2013",17.057
"Sep 14, 2013",10.164
"Sep 14, 2013",13.948
"Sep 23, 2013",15.823
"Sep 23, 2013",17.857
"Sep 30, 2013",3.094
"Sep 30, 2013",7.481
"Oct 9, 2013",15.169
"Oct 9, 2013",20.089
"Oct 16, 2013",22.241
"Oct 16, 2013",45.993
"Oct 25, 2013",24.562
"Oct 25, 2013",45.446
"Nov 1, 2013",57.403
"Nov 1, 2013",123.24
"Nov 10, 2013",45.946
"Nov 10, 2013",82.074
"Nov 17, 2013",65.199
"Nov 17, 2013",137.761
"Nov 26, 2013",44.705
"Nov 26, 2013",102.71
"Dec 3, 2013",65.047
"Dec 3, 2013",146.002
"Dec 12, 2013",85.757
"Dec 12, 2013",135.012
"Dec 19, 2013",52.715
"Dec 19, 2013",97.492
"Dec 28, 2013",82.791
"Dec 28, 2013",134.285
"Jan 4, 2014",53.579
"Jan 4, 2014",100.434
"Jan 13, 2014",77.428
"Jan 13, 2014",128.959
"Jan 20, 2014",58.727
"Jan 20, 2014",109.048
"Feb 5, 2014",32.618
"Feb 5, 2014",46.157
"Feb 14, 2014",3.705
"Feb 14, 2014",32.731
"Feb 21, 2014",24.032
"Feb 21, 2014",31.153
"Mar 18, 2014",17.971
"Mar 18, 2014",27.201
"Apr 3, 2014",0.001
"Apr 3, 2014",0.477
"Apr 10, 2014",13.482
"Apr 10, 2014",15.444
"Apr 19, 2014",15.581
"Apr 19, 2014",17.355
"Apr 26, 2014",16.414
"Apr 26, 2014",41.369
"May 5, 2014",18.829
"May 5, 2014",42.909
"May 12, 2014",56.109
"May 12, 2014",128.471
"May 21, 2014",39.833
"May 21, 2014",90.064
"May 28, 2014",32.515
"May 28, 2014",65.245
"Jun 6, 2014",21.161
"Jun 6, 2014",28.766
"Jun 13, 2014",11.44
"Jun 13, 2014",15.153
"Jun 22, 2014",13.03
"Jun 22, 2014",14.614
"Jun 29, 2014",8.332
"Jun 29, 2014",10.73
"Jul 8, 2014",2.306
"Jul 8, 2014",2.094
"Jul 15, 2014",0.505
"Jul 15, 2014",0.332
"Jul 24, 2014",12.853
"Jul 24, 2014",14.163
"Jul 31, 2014",5.872
"Jul 31, 2014",5.034
"Aug 9, 2014",12.365
"Aug 9, 2014",13.999
"Aug 16, 2014",8.774
"Aug 16, 2014",11.355
"Aug 25, 2014",11.661
"Aug 25, 2014",13.581
"Sep 1, 2014",8.312
"Sep 1, 2014",10.664
"Sep 10, 2014",11.95
"Sep 10, 2014",14.756
"Sep 17, 2014",8.081
"Sep 17, 2014",10.921
"Sep 26, 2014",6.052
"Sep 26, 2014",5.997
"Oct 3, 2014",9.895
"Oct 3, 2014",15.732
"Oct 12, 2014",14.633
"Oct 12, 2014",29.065
"Oct 19, 2014",26.238
"Oct 19, 2014",57.015
"Oct 28, 2014",26.95
"Oct 28, 2014",59.367
"Nov 4, 2014",47.005
"Nov 4, 2014",94.871
"Dec 6, 2014",52.501
"Dec 6, 2014",78.269
"Dec 22, 2014",59.299
"Dec 22, 2014",99.193
"Dec 31, 2014",86.683
"Dec 31, 2014",132.12
"Jan 7, 2015",84.328
"Jan 7, 2015",170.49
