system:time_start,waterArea
"Apr 9, 2013",15.636
"Apr 16, 2013",15.056
"May 27, 2013",0
"Jun 3, 2013",14.853
"Jun 19, 2013",14.78
"Jul 5, 2013",15.072
"Jul 21, 2013",15.109
"Aug 6, 2013",15.377
"Aug 22, 2013",15.286
"Sep 7, 2013",15.712
"Sep 23, 2013",15.532
"Oct 9, 2013",15.446
"Oct 25, 2013",14.531
"Nov 10, 2013",16.721
"Nov 26, 2013",7.584
"Dec 5, 2013",391.484
"Dec 12, 2013",33.013
"Dec 28, 2013",32.094
"Jan 6, 2014",
"Jan 13, 2014",30.164
"Jan 29, 2014",0.947
"Feb 14, 2014",16.125
"Mar 11, 2014",
"Mar 18, 2014",15.69
"Apr 3, 2014",13.165
"Apr 19, 2014",15.112
"Apr 28, 2014",0
"May 5, 2014",17.293
"May 14, 2014",0
"May 21, 2014",15.209
"Jun 6, 2014",15.666
"Jun 22, 2014",16.137
"Jul 8, 2014",16.071
"Jul 24, 2014",16.127
"Aug 9, 2014",16.017
"Aug 25, 2014",5.923
"Sep 10, 2014",15.896
"Sep 26, 2014",57.068
"Oct 12, 2014",15.204
"Oct 28, 2014",17.24
"Dec 31, 2014",34.986
"Jan 16, 2015",0
"Feb 1, 2015",4.205
"Feb 17, 2015",0
"Mar 5, 2015",15.538
"Mar 21, 2015",8.602
"Apr 6, 2015",10.086
"Apr 15, 2015",0
"Apr 22, 2015",14.455
"May 1, 2015",0.926
"May 8, 2015",15.549
"May 24, 2015",15.746
"Jun 9, 2015",0
"Jun 25, 2015",16.028
"Jul 11, 2015",15.82
"Jul 27, 2015",15.912
"Aug 12, 2015",15.933
"Aug 28, 2015",13.992
"Sep 13, 2015",6.891
"Sep 29, 2015",0.005
"Oct 15, 2015",5.095
"Oct 31, 2015",16.775
"Nov 16, 2015",20.879
"Dec 2, 2015",0.005
"Dec 18, 2015",31.321
"Jan 3, 2016",0.712
"Feb 4, 2016",22.953
"Feb 20, 2016",11.91
"Mar 7, 2016",0
"Mar 23, 2016",15.221
"Apr 8, 2016",0
"Apr 24, 2016",13.293
"May 3, 2016",0
"May 10, 2016",15.351
"May 26, 2016",15.171
"Jun 11, 2016",15.426
"Jun 27, 2016",15.386
"Jul 13, 2016",15.19
"Jul 29, 2016",15.308
"Aug 14, 2016",15.206
"Aug 30, 2016",15.387
"Sep 15, 2016",15.465
"Oct 1, 2016",15.968
"Oct 17, 2016",88.778
"Nov 2, 2016",18.754
"Nov 18, 2016",21.816
"Dec 4, 2016",19.579
"Dec 20, 2016",31.125
"Jan 5, 2017",35.937
"Jan 21, 2017",32.739
"Feb 22, 2017",47.362
"Mar 10, 2017",0
"Mar 26, 2017",0
"Apr 27, 2017",16.914
"May 13, 2017",15.626
"May 29, 2017",0.434
"Jun 14, 2017",15.844
"Jun 30, 2017",15.903
"Jul 16, 2017",15.92
"Aug 1, 2017",15.937
"Aug 17, 2017",15.584
"Sep 2, 2017",15.864
"Sep 18, 2017",18.422
"Oct 4, 2017",16.113
"Oct 20, 2017",12.012
"Nov 5, 2017",63.885
"Nov 21, 2017",13.433
"Dec 7, 2017",39.021
"Dec 23, 2017",11.642
"Jan 24, 2018",23.723
"Feb 9, 2018",16.514
"Feb 25, 2018",13.154
"Mar 29, 2018",15.493
"Apr 14, 2018",15.407
"Apr 30, 2018",1.78
"May 9, 2018",
"May 16, 2018",10.607
"Jun 1, 2018",16.231
"Jun 17, 2018",15.517
"Jul 3, 2018",16.246
"Jul 19, 2018",12.436
"Aug 4, 2018",16.315
"Aug 20, 2018",15.88
"Sep 5, 2018",15.661
"Sep 21, 2018",15.555
"Oct 7, 2018",15.341
"Oct 23, 2018",0
"Nov 8, 2018",14.436
"Nov 24, 2018",68.824
"Dec 10, 2018",8.884
"Dec 26, 2018",223.594
"Jan 11, 2019",2.489
"Jan 27, 2019",2.356
"Feb 28, 2019",0.109
"Mar 16, 2019",17.149
"Apr 1, 2019",0
"Apr 17, 2019",15.68
"May 3, 2019",15.288
"May 19, 2019",2.381
"Jun 4, 2019",15.596
"Jun 20, 2019",15.632
"Jul 6, 2019",14.715
"Jul 22, 2019",15.792
"Aug 7, 2019",15.898
"Aug 23, 2019",15.69
"Sep 8, 2019",15.669
"Sep 24, 2019",15.456
"Oct 10, 2019",14.851
"Oct 26, 2019",14.665
"Nov 11, 2019",12.403
"Nov 27, 2019",8.017
"Dec 29, 2019",0.05
"Jan 14, 2020",48.229
"Jan 30, 2020",1.559
"Feb 15, 2020",11.752
"Mar 2, 2020",12.444
"Mar 18, 2020",0
"Apr 3, 2020",14.037
"Apr 19, 2020",15.158
"Apr 28, 2020",0
"May 5, 2020",14.518
"May 21, 2020",14.988
"Jun 6, 2020",15.347
"Jun 22, 2020",16.102
"Jul 8, 2020",15.94
"Jul 24, 2020",15.607
