system:time_start,waterArea
"Mar 27, 2013",11.104
"Mar 27, 2013",20.158
"Apr 1, 2013",3.996
"Apr 1, 2013",6.113
"Apr 11, 2013",9.133
"Apr 11, 2013",10.643
"Apr 27, 2013",3.316
"Apr 27, 2013",5.47
"May 4, 2013",10.043
"May 13, 2013",5.923
"May 13, 2013",10.015
"May 20, 2013",4.305
"May 29, 2013",0
"Jun 5, 2013",8.847
"Jun 14, 2013",6.708
"Jun 14, 2013",8.5
"Jun 21, 2013",0
"Jun 30, 2013",1.292
"Jun 30, 2013",1.197
"Jul 7, 2013",0.034
"Jul 7, 2013",0.213
"Jul 16, 2013",0.254
"Jul 16, 2013",0.26
"Jul 23, 2013",2.962
"Jul 23, 2013",5.732
"Aug 1, 2013",6.94
"Aug 1, 2013",7.366
"Aug 8, 2013",6.421
"Aug 8, 2013",11.518
"Aug 17, 2013",8.531
"Aug 17, 2013",9.255
"Aug 24, 2013",26.779
"Aug 24, 2013",18.475
"Sep 2, 2013",29.649
"Sep 2, 2013",29.461
"Sep 9, 2013",13.741
"Sep 9, 2013",9.64
"Sep 18, 2013",1.137
"Sep 18, 2013",1.035
"Sep 25, 2013",11.782
"Sep 25, 2013",20.577
"Oct 4, 2013",22.869
"Oct 11, 2013",7.468
"Oct 11, 2013",7.316
"Oct 20, 2013",10.357
"Oct 27, 2013",0
"Nov 5, 2013",0.024
"Nov 12, 2013",13.519
"Nov 12, 2013",24.939
"Nov 21, 2013",64.796
"Nov 21, 2013",60.589
"Nov 28, 2013",0
"Nov 28, 2013",0
"Dec 14, 2013",6.435
"Dec 23, 2013",13.095
"Dec 23, 2013",14.182
"Jan 15, 2014",15.904
"Jan 15, 2014",29.762
"Jan 31, 2014",0.403
"Jan 31, 2014",1.619
"Feb 9, 2014",0
"Feb 16, 2014",0.449
"Feb 25, 2014",7.366
"Feb 25, 2014",7.569
"Mar 13, 2014",11.747
"Mar 13, 2014",12.759
"Mar 20, 2014",11.918
"Mar 20, 2014",20.721
"Mar 29, 2014",9.524
"Mar 29, 2014",10.351
"Apr 5, 2014",0
"May 7, 2014",0
"May 7, 2014",0
"May 16, 2014",8.655
"May 16, 2014",8.739
"May 23, 2014",0
"May 23, 2014",0
"Jun 1, 2014",5.395
"Jun 1, 2014",5.234
"Jun 8, 2014",7.22
"Jun 8, 2014",7.619
"Jun 17, 2014",5.744
"Jun 17, 2014",6.093
"Jun 24, 2014",4.641
"Jun 24, 2014",9.308
"Jul 3, 2014",3.4
"Jul 3, 2014",3.557
"Jul 10, 2014",0.036
"Jul 10, 2014",0.091
"Jul 19, 2014",2.735
"Jul 19, 2014",2.778
"Jul 26, 2014",5.655
"Jul 26, 2014",5.698
"Aug 4, 2014",8.22
"Aug 4, 2014",8.302
"Aug 11, 2014",14.978
"Aug 11, 2014",20.108
"Aug 20, 2014",1.954
"Aug 20, 2014",2.084
"Aug 27, 2014",14.382
"Aug 27, 2014",16.034
"Sep 5, 2014",9.664
"Sep 5, 2014",10.397
"Sep 12, 2014",16.262
"Sep 12, 2014",0.933
"Sep 21, 2014",18.846
"Sep 21, 2014",19.226
"Sep 28, 2014",3.017
"Sep 28, 2014",6.617
"Oct 7, 2014",16.625
"Oct 7, 2014",16.666
"Oct 14, 2014",12.756
"Oct 14, 2014",23.077
"Oct 23, 2014",0.03
"Oct 23, 2014",0.027
"Oct 30, 2014",9.29
"Oct 30, 2014",9.422
"Nov 8, 2014",3.504
"Nov 8, 2014",3.819
"Nov 24, 2014",12.71
"Nov 24, 2014",13.634
"Dec 1, 2014",1.253
"Dec 10, 2014",0
"Dec 10, 2014",0
"Jan 18, 2015",26.161
"Jan 18, 2015",43.695
"Jan 27, 2015",13.328
"Jan 27, 2015",13.474
"Feb 12, 2015",11.651
"Feb 12, 2015",12.99
"Feb 19, 2015",12.583
"Feb 19, 2015",26.516
"Mar 7, 2015",0.745
"Mar 16, 2015",0
"Mar 23, 2015",12.176
"Mar 23, 2015",14.59
"Apr 1, 2015",0
"Apr 8, 2015",0.158
"Apr 17, 2015",7.746
"Apr 17, 2015",7.72
"Apr 24, 2015",0.621
