EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
553858,BUTTE CO.,NORD,12/11/2014,700,Flood, , ,0,0,25000,0,CA,PST-8, ,91473,C,7,STO,0,0,Emergency Manager,Heavy Rain, , ,0,N,1,SE,NORD,39.78,-121.97,39.775,-121.9613,"There were 5 to 11 homes with minor flooding in Nord.","An atmospheric river event beginning early December 11th brought periods of heavy rainfall, flooding from overly saturated grounds and high river/stream water levels, and heavy snow above 7000 ft. Windy conditions persisted through the event, causing trees and tree branches to fall down and localized power outages affecting hundreds of thousands of homes across Northern California. Snowfall of 1 to 2 feet caused travel problems at Sierra passes. Winds were reported to reach as high as 50-60 mph in the valley/foothill region, and over 100 mph in the mountains. |On December 22, Governor Brown declared a state of emergency for heavy rain, flooding and wind damage in counties including Tehama, Lake, Shasta, and Yolo.",1
553859,BUTTE CO.,PALERMO,12/11/2014,700,Flood, , ,0,0,250000,0,CA,PST-8, ,91473,C,7,STO,0,0,Emergency Manager,Heavy Rain, , ,1,NNW,1,NNW,PALERMO,39.4447,-121.5546,39.4411,-121.5548,"There were 25 homes with minor flooding in Palermo.","An atmospheric river event beginning early December 11th brought periods of heavy rainfall, flooding from overly saturated grounds and high river/stream water levels, and heavy snow above 7000 ft. Windy conditions persisted through the event, causing trees and tree branches to fall down and localized power outages affecting hundreds of thousands of homes across Northern California. Snowfall of 1 to 2 feet caused travel problems at Sierra passes. Winds were reported to reach as high as 50-60 mph in the valley/foothill region, and over 100 mph in the mountains. |On December 22, Governor Brown declared a state of emergency for heavy rain, flooding and wind damage in counties including Tehama, Lake, Shasta, and Yolo.",2
574050,BUTTE CO.,CHICO,04/06/2015,1600,Heavy Rain, , ,0,0,0,0,CA,PST-8, ,94516,C,7,STO,0,0,Trained Spotter, , , ,1,W,1,W,CHICO,39.73,-121.84,39.73,-121.84,"The 24 hour total rain was 0.86 inches.","Snowfall exceeding 8-14 inches caused travel problems in the mountains, with some light accumulations reported down to elevations around 2500 feet. Thunderstorms locally brought both large hail and large amounts of small hail, causing traffic accidents and spin outs. Multiple funnel clouds were reported, but there were no confirmed touchdowns. Heavy rainfall of 1 to 2 inches was measured, with some ponding on roads.",3
609714,BUTTE CO.,VILLA VERONA,11/08/2015,2100,Heavy Rain, , ,0,0,0,0,CA,PST-8, ,101548,C,7,STO,0,0,Trained Spotter, , , ,1,W,1,W,VILLA VERONA,39.48,-121.54,39.48,-121.54,"There was a 24 hour total of 1.75 inches of rain. Observer location Oroville.","A cold storm from the Gulf of Alaska brought the first significant snow to the mountains and down into the upper foothills. There were snowfall amounts up to a foot above 6000 ft, with measurable snow down to as low as 2700 feet. This caused travel delays and accidents on mountain roads.",4
664168,BUTTE CO.,BUTTE MEADOWS,10/14/2016,0,Heavy Rain, , ,0,0,0,0,CA,PST-8, ,111308,C,7,STO,0,0,Public, , , ,0,N,0,N,BUTTE MEADOWS,40.08,-121.55,40.08,-121.55,"There were 1.75 inches of rain measured.","A series of weather systems brought periods of heavy rain and gusty winds, with several inches of high mountain snow.",5
671412,BUTTE CO.,PARADISE,12/09/2016,2200,Heavy Rain, , ,0,0,0,0,CA,PST-8, ,112546,C,7,STO,0,0,COOP Observer, , , ,1,ESE,1,ESE,PARADISE,39.76,-121.6,39.76,-121.6,"A CC-OP observere reported heavy rain, 3.45 24 hour total.","A relatively warm storm with a concentrated moisture plume brought heavy rain, especially in the mountains and foothills. Rain amounts from 5 to 8 inches were reported in the Sierra, and runoff caused minor flooding. Snow levels were high, with only the highest peaks seeing some wet snow.",6
671401,BUTTE CO.,VILLA VERONA,12/14/2016,1600,Heavy Rain, , ,0,0,0,0,CA,PST-8, ,112542,C,7,STO,0,0,Trained Spotter, , , ,1,W,1,W,VILLA VERONA,39.48,-121.54,39.48,-121.54,"There were 2.5 of rain measured after midnight, 4 miles south of Oroville.","A series of storms with a strong subtropical moisture plume brought widespread heavy rain, with mountain totals around 4 to 8 inches, 1 to 3 inches in the Valley. Some areas were impacted by flooding, particularly in the foothills and mountains. Snow was limited to pass levels and over higher peaks.",7
676631,BUTTE CO.,BERRY CREEK,01/06/2017,1530,Heavy Rain, , ,0,0,0,0,CA,PST-8, ,111564,C,7,STO,0,0,Public, , , ,1,W,1,W,BERRY CREEK,39.65,-121.41,39.65,-121.41,"There were 11.59 of rain measured. The duration of the heavy rain event was 72 hours.","Two strong storms brought a range of significant weather impacts to northern interior California. The first storm was very wet and warm, the second not quite as wet but cooler with lower snow levels. Both storms brought strong, damaging winds.  The heavy rain brought widespread flooding of small streams and rivers, with some flooding of main stem rivers, mountain snow many feet deep, and numerous trees down on roads, vehicles, and homes. Many roads, including major highways such as Interstate 80, were shut down due to mudslides, heavy snow, flooding, washouts or avalanche suppression.  EF0 tornadoes were reported at Lincoln and Natomas. Other significant impacts include numerous accidents due to slippery roads, evacuations and rescues due to flooding.",8
674965,BUTTE CO.,DAYTON,01/07/2017,1000,Flood, , ,0,0,0,0,CA,PST-8, ,111564,C,7,STO,0,0,Trained Spotter,Heavy Rain, , ,4,WSW,3,WSW,CHICO RANCHAERO ARPT,39.6249,-121.941,39.7002,-121.9208,"River Road between Chico River Road and Ord Ferry Road was closed due to flooding.","Two strong storms brought a range of significant weather impacts to northern interior California. The first storm was very wet and warm, the second not quite as wet but cooler with lower snow levels. Both storms brought strong, damaging winds.  The heavy rain brought widespread flooding of small streams and rivers, with some flooding of main stem rivers, mountain snow many feet deep, and numerous trees down on roads, vehicles, and homes. Many roads, including major highways such as Interstate 80, were shut down due to mudslides, heavy snow, flooding, washouts or avalanche suppression.  EF0 tornadoes were reported at Lincoln and Natomas. Other significant impacts include numerous accidents due to slippery roads, evacuations and rescues due to flooding.",9
665647,BUTTE CO.,SHIPPEE,01/07/2017,1450,Flood, , ,0,0,0,0,CA,PST-8, ,111564,C,7,STO,0,0,Trained Spotter,Heavy Rain, , ,1,NNW,2,N,THERMALITO,39.5476,-121.687,39.5531,-121.5934,"Cottonwood Road from Table Mountain to Highway 99 closed due to flooding.","Two strong storms brought a range of significant weather impacts to northern interior California. The first storm was very wet and warm, the second not quite as wet but cooler with lower snow levels. Both storms brought strong, damaging winds.  The heavy rain brought widespread flooding of small streams and rivers, with some flooding of main stem rivers, mountain snow many feet deep, and numerous trees down on roads, vehicles, and homes. Many roads, including major highways such as Interstate 80, were shut down due to mudslides, heavy snow, flooding, washouts or avalanche suppression.  EF0 tornadoes were reported at Lincoln and Natomas. Other significant impacts include numerous accidents due to slippery roads, evacuations and rescues due to flooding.",10
