EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5561847,HOUSTON CO.,CENTRAL PORTION,07/25/1996,137,Flash Flood, , ,0,0,10000,0,TX,CST, ,2039236,C,225,HGX,0,0, , , , , , , , ,CENTRAL PORTION, , , , ,"","Street flooding in Crockett.  HWY 7 was barracaded due to high water.  Three cars were swept off HWY 21 near Crockett.",1
5566281,HOUSTON CO.,SW COUNTY,09/26/1996,2001,Flash Flood, , ,0,0,5000,0,TX,CST, ,2045793,C,225,HGX,0,0, , , , , , , , ,SW COUNTY, , , , ,"","Creeks out of banks in SW county mainly between Austonio and Lovelady.",2
5595182,HOUSTON CO.,COUNTYWIDE,02/20/1997,1625,Flash Flood, , ,0,0,5000,0,TX,CST, ,2059726,C,225,HGX,0,0, , , , , , , , ,COUNTYWIDE, , , , ,"","Street flooding due to training rains.",3
5595369,HOUSTON CO.,COUNTYWIDE,04/04/1997,2300,Flash Flood, , ,0,0,5000,0,TX,CST, ,2059751,C,225,HGX,0,0, , , , , , , , ,COUNTYWIDE, , , , ,"","Street flooding throughout county.",4
5599195,HOUSTON CO.,COUNTY,05/15/1997,1840,Flash Flood, , ,0,0,5000,0,TX,CST, ,2063343,C,225,HGX,0,0, , , , , , , , ,COUNTY, , , , ,"Street flooding between Grapeland and Crockett","",5
5610830,HOUSTON CO.,GRAPELAND,06/10/1997,420,Flash Flood, , ,0,0,5000,0,TX,CST, ,1045972,C,225,HGX,0,0, , , , ,5,E,5,E,GRAPELAND, , , , ,"High water on FM 227 & FM 2022","",6
5610837,HOUSTON CO.,HOPEWELL,06/13/1997,311,Flash Flood, , ,0,0,5000,0,TX,CST, ,2067439,C,225,HGX,0,0, , , , , , , , ,HOPEWELL, , , , ,"High water on HWY 287","",7
5620772,HOUSTON CO.,CENTRAL PORTION,11/05/1997,800,Flash Flood, , ,0,0,25000,0,TX,CST, ,2070669,C,225,HGX,0,0, , , , , , , , ,CENTRAL PORTION, , , , ,"Crockett flooded.  FM 2115 bridge washed out.  Houston County Lake Road between FM 229 & HWY 287 washed out.","",8
5628601,HOUSTON CO.,SOUTH PORTION,01/06/1998,1500,Flash Flood, , ,0,0,3000,0,TX,CST, ,2072570,C,225,HGX,0,0, , , , , , , , ,SOUTH PORTION, , , , ,"High water on FM 1280.","",9
5672305,HOUSTON CO.,GRAPELAND,10/06/1998,345,Flash Flood, , ,0,0,3000,0,TX,CST, ,2150421,C,225,HGX,0,0,GENERAL PUBLIC, , , , , , , ,GRAPELAND, , , , ,"Street flooding in Grapeland.","",10
5672657,HOUSTON CO.,AUSTONIA,10/17/1998,2030,Flash Flood, , ,0,0,5000,0,TX,CST, ,2150423,C,225,HGX,0,0,LAW ENFORCEMENT, , , , , , , ,AUSTONIA, , , , ,"Street flooding in Austonio and Lovelady.","",11
5672039,HOUSTON CO.,CROCKETT,10/18/1998,500,Flash Flood, , ,0,0,5000,0,TX,CST, ,2150424,C,225,HGX,0,0,LAW ENFORCEMENT, , , , , , , ,CROCKETT, , , , ,"Street flooding in Crockett.","",12
5685846,HOUSTON CO.,COUNTYWIDE,01/29/1999,450,Flash Flood, , ,0,0,5000,0,TX,CST, ,1501903,C,225,HGX,0,0,LAW ENFORCEMENT, , , , , , , ,COUNTYWIDE, , , , ,"Minor street flooding countywide.","",13
5685848,HOUSTON CO.,COUNTYWIDE,01/29/1999,845,Flash Flood, , ,0,0,5000,0,TX,CST, ,1501903,C,225,HGX,0,0,LAW ENFORCEMENT, , , , , , , ,COUNTYWIDE, , , , ,"Many roads flooded across the county.  Road closures include:  FM 229, HWY 70, and HWY 75.","",14
5159601,HOUSTON CO.,COUNTYWIDE,11/03/2000,2200,Flash Flood, , ,0,0,25000,0,TX,CST, ,1104768,C,225,HGX,0,0,LAW ENFORCEMENT, , , , , , , ,COUNTYWIDE, , , , ,"Flooding on FM 357 2.5 miles north of Kennard.","",15
5256005,HOUSTON CO.,COUNTYWIDE,06/07/2001,400,Flash Flood, , ,0,0,0,0,TX,CST, ,1118286,C,225,HGX,0,0,LAW ENFORCEMENT, , , , , , , ,COUNTYWIDE, , , , ,"Flooding from the remnants of T.S. Allison.  Damage included in previous report.","",16
5256013,HOUSTON CO.,COUNTYWIDE,06/07/2001,2000,Flash Flood, , ,0,0,0,0,TX,CST, ,1118286,C,225,HGX,0,0,LAW ENFORCEMENT, , , , , , , ,COUNTYWIDE, , , , ,"Flooding from the remnants of T.S. Allison.  Damage included in previous report.","",17
5299877,HOUSTON CO.,CROCKETT,05/17/2002,1115,Flash Flood, , ,0,0,2000,0,TX,CST, ,1135755,C,225,HGX,0,0,EMERGENCY MANAGER, , , , , , , ,CROCKETT, , , , ,"Street flooding.","",18
